,Code,Country,Population,Total_Cases,Total_Deaths,Human_Dev_Index,Gdp_Per_Capita,Stringency_Index,Continent
0,AFG,Afghanistan,38928341,5126433.0,165875.0,0.5,1803.99,46.8,Asia
1,ALB,Albania,2877800,1071951.0,31056.0,0.6,9033.24,48.63,Europe
2,DZA,Algeria,43851043,4893999.0,206429.0,0.75,13913.84,55.05,Africa
3,AND,Andorra,77265,223576.0,9850.0,0.66,0.0,31.29,Europe
4,AGO,Angola,32866268,304005.0,11820.0,0.42,4196.37,53.22,Africa
5,AIA,Anguilla,15002,614.0,0.0,0.0,0.0,27.94,North America
6,ATG,Antigua and Barbuda,97928,12619.0,568.0,0.57,15643.07,0.0,North America
7,ARG,Argentina,45195777,47155234.0,1077426.0,0.71,16229.06,65.45,South America
8,ARM,Armenia,2963234,5474629.0,102039.0,0.76,8787.58,0.0,Asia
9,ABW,Aruba,106766,215110.0,1624.0,0.0,26429.72,37.75,North America
10,AUS,Australia,25499881,3012377.0,65029.0,0.94,44648.71,53.64,Oceania
11,AUT,Austria,9006400,4909197.0,134945.0,0.91,45436.69,37.96,Europe
12,AZE,Azerbaijan,10139175,4236782.0,59495.0,0.76,15847.42,63.65,Asia
13,BHS,Bahamas,393248,237908.0,5998.0,0.59,20364.13,0.0,North America
14,BHR,Bahrain,1701583,6549995.0,22413.0,0.85,43290.71,55.47,Asia
15,BGD,Bangladesh,164689383,35266178.0,484534.0,0.48,2768.84,57.18,Asia
16,BRB,Barbados,287371,24998.0,1321.0,0.59,12473.68,43.36,North America
17,BLR,Belarus,9449321,10595186.0,88409.0,0.81,17167.97,8.85,Europe
18,BEL,Belgium,11589616,15192468.0,1798461.0,0.91,42368.38,47.58,Europe
19,BLZ,Belize,397621,106383.0,1613.0,0.51,5588.83,48.99,North America
20,BEN,Benin,12123198,245893.0,4374.0,0.38,1523.6,34.56,Africa
21,BMU,Bermuda,62273,28876.0,1631.0,0.0,36881.75,40.06,North America
22,BTN,Bhutan,771612,22847.0,0.0,0.46,6605.5,54.15,Asia
23,BOL,Bolivia,11673029,11858838.0,578559.0,0.52,5199.5,64.55,South America
24,BES,Bonaire Sint Eustatius and Saba,26221,5080.0,48.0,0.0,0.0,0.0,North America
25,BIH,Bosnia and Herzegovina,3280815,2200057.0,70578.0,0.58,8885.03,46.46,Europe
26,BWA,Botswana,2351625,205758.0,895.0,0.49,10860.85,43.84,Africa
27,BRA,Brazil,212559409,425704517.0,14340567.0,0.76,14103.45,50.9,South America
28,VGB,British Virgin Islands,30237,4605.0,183.0,0.0,0.0,34.24,North America
29,BRN,Brunei,437483,30140.0,475.0,0.65,54467.56,34.38,Asia
30,BGR,Bulgaria,6948445,1890380.0,72850.0,0.62,14143.47,35.07,Europe
31,BFA,Burkina Faso,20903278,231452.0,10248.0,0.32,1280.22,39.76,Africa
32,BDI,Burundi,11890781,49745.0,188.0,0.29,482.48,8.52,Africa
33,KHM,Cambodia,16718971,39539.0,0.0,0.58,3645.07,34.51,Asia
34,CMR,Cameroon,26545864,2476502.0,56606.0,0.42,2552.31,43.35,Africa
35,CAN,Canada,37742157,20902374.0,1455549.0,0.93,44017.59,49.99,North America
36,CPV,Cape Verde,555988,463888.0,4749.0,0.47,4508.18,51.0,Africa
37,CYM,Cayman Islands,65720,33173.0,213.0,0.0,36323.97,27.9,North America
38,CAF,Central African Republic,4829764,593048.0,7108.0,0.27,490.31,44.28,Africa
39,TCD,Chad,16425859,154173.0,12212.0,0.29,1287.02,48.33,Africa
40,CHL,Chile,19116209,51268034.0,1283880.0,0.66,17733.51,54.02,South America
41,CHN,China,1439323774,21632319.0,1066939.0,0.75,15308.71,66.57,Asia
42,COL,Colombia,50882884,60543682.0,1936134.0,0.58,10324.43,61.43,South America
43,COM,Comoros,869595,52437.0,920.0,0.29,822.36,0.0,Africa
44,COG,Congo,5518092,473368.0,9298.0,0.45,3619.55,50.84,Africa
45,CRI,Costa Rica,5094114,4631835.0,50352.0,0.61,11934.18,49.9,North America
46,CIV,Cote d'Ivoire,26378275,2132883.0,14220.0,0.37,2694.63,39.53,Africa
47,HRV,Croatia,4105268,1314031.0,28757.0,0.83,22669.8,38.18,Europe
48,CUB,Cuba,11326616,581546.0,16774.0,0.58,0.0,57.43,North America
49,CUW,Curacao,164100,19777.0,207.0,0.0,0.0,0.0,North America
50,CYP,Cyprus,875899,236673.0,3735.0,0.66,24476.73,48.51,Asia
51,CZE,Czech Republic,10708982,5213980.0,79880.0,0.89,32605.91,37.5,Europe
52,COD,Democratic Republic of Congo,89561404,1271391.0,32040.0,0.34,607.47,47.89,Africa
53,DNK,Denmark,5792203,3030088.0,113280.0,0.93,46682.52,43.27,Europe
54,DJI,Djibouti,988002,781771.0,8006.0,0.35,1978.44,43.72,Africa
55,DMA,Dominica,71991,3977.0,0.0,0.51,6942.45,36.25,North America
56,DOM,Dominican Republic,10847904,10649646.0,209024.0,0.74,14600.86,59.64,North America
57,ECU,Ecuador,17643060,14408757.0,1083749.0,0.75,10581.94,56.7,South America
58,EGY,Egypt,102334403,12422845.0,644416.0,0.7,10550.21,50.65,Africa
59,SLV,El Salvador,6486201,2573206.0,71957.0,0.49,5332.92,62.33,North America
60,GNQ,Equatorial Guinea,1402985,557355.0,8947.0,0.44,16838.32,0.0,Africa
61,ERI,Eritrea,3546427,40026.0,0.0,0.32,1089.17,65.79,Africa
62,EST,Estonia,1326539,445402.0,11802.0,0.87,29481.25,28.58,Europe
63,ETH,Ethiopia,114963583,4876417.0,77686.0,0.35,1300.39,55.18,Africa
64,FRO,Faeroe Islands,48865,56893.0,0.0,0.0,0.0,0.0,Europe
65,FLK,Falkland Islands,3483,2467.0,0.0,0.0,0.0,24.09,South America
66,FJI,Fiji,896444,4742.0,132.0,0.67,7814.92,49.69,Oceania
67,FIN,Finland,5540718,1458484.0,58377.0,0.92,40585.72,33.9,Europe
68,FRA,France,65273512,50084335.0,5633444.0,0.9,38605.67,46.55,Europe
69,PYF,French Polynesia,280904,95388.0,260.0,0.0,0.0,0.0,Oceania
70,GAB,Gabon,2225728,1031803.0,6877.0,0.53,12393.64,51.86,Africa
71,GMB,Gambia,2416664,229521.0,7201.0,0.34,1147.42,52.23,Africa
72,GEO,Georgia,3989175,431689.0,4013.0,0.78,9745.08,56.89,Asia
73,DEU,Germany,83783945,42447678.0,1640691.0,0.94,45229.24,45.17,Europe
74,GHA,Ghana,31072945,4900649.0,29143.0,0.44,3163.53,39.88,Africa
75,GIB,Gibraltar,33691,45340.0,0.0,0.0,0.0,33.24,Europe
76,GRC,Greece,10423056,1421470.0,44805.0,0.87,24574.38,45.42,Europe
77,GRL,Greenland,56772,2678.0,0.0,0.0,0.0,31.84,North America
78,GRD,Grenada,112519,4470.0,0.0,0.55,9756.15,0.0,North America
79,GUM,Guam,168783,160975.0,2715.0,0.0,0.0,45.85,Oceania
80,GTM,Guatemala,17915567,7644426.0,281588.0,0.54,6211.76,65.21,North America
81,GGY,Guernsey,67052,49814.0,2450.0,0.0,0.0,0.0,Europe
82,GIN,Guinea,13132792,1195836.0,7283.0,0.34,1489.0,46.9,Africa
83,GNB,Guinea-Bissau,1967998,306564.0,4199.0,0.32,1090.39,0.0,Africa
84,GUY,Guyana,786559,166917.0,5783.0,0.49,5538.35,56.03,South America
85,HTI,Haiti,11402533,1023155.0,23891.0,0.36,1203.33,42.7,North America
86,HND,Honduras,9904608,6545499.0,200844.0,0.46,3398.62,68.34,North America
87,HKG,Hong Kong,7496988,0.0,0.0,0.16,9723.81,9.63,Asia
88,HUN,Hungary,9660350,1708798.0,110142.0,0.66,20948.43,42.59,Europe
89,ISL,Iceland,341250,421210.0,1968.0,0.94,46482.96,32.31,Europe
